,title,pred_class
70,"Says President Barack Obama promised he would cut the deficit in half, but instead will at least double it.",0
71,"Were the seventh highest taxed state in America. And thats not just state, its local as well.",0
72,"The Senate immigration bill has immediate legalization ... and the border security is sometime in the future, and just like in 1986, its designed never to come into being.",0
73,"Rick Scott ""was forced to resign as the head of a company that pled guilty to massive amounts of systematic fraud, including 14 felonies, leading to a historic $1.7 billion fine.""",1
74,"On the night of the Iowa caucuses, Obama promised the nation that he would do health care reform focused on cost containment, he opposed an individual mandate, and he said he was going to do it with Republicans.",0
75,Woodrow Wilson borrowed $30 billion to fund World War I in 1917. That money has not been paid back. And we are still paying interest on it.,1
76,"Since being elected, (Tom Barrett) has dumped 8.2 billion gallons of raw sewage into Lake Michigan.",0
77,Two-thirds of the federal budget is permanent law ... its permanently appropriated.,1
78,The city of Charlotte passed a bathroom ordinance mandate on every private-sector employer in Charlotte.,0
79,Allowing all Bush income tax cuts to expire on Dec. 31 will amount to the largest tax increase in the history of America.,0
80,Charlie Crists personal approval numbers are plummeting.,0
81,The state is able to sharply curtail contract bargaining rights for state employee unions.,1
82,New Jersey has had seven credit downgrades since Chris Christie became governor.,1
83,Says his plan to end the toll on Ga. 400 fulfills his campaign promise to commuters.,0
84,Joe Garcia raised utility rates on families.,1
85,"The labor force participation rate -- the share of the potential workforce that is actually working or looking for work-- currently stands below 63%, the lowest level since the 1970s.",1
86,"Taxpayer money will provide iPod Touch devices to high school students in Utah, BlackBerry smart phones to smokers who kick the habit and funding for a study of exotic ants in East Africa.",0
87,"The United States is ""seeing greater income inequality now than any time since the 1920s.""",1
88,We had the biggest drop of the rate of unemployment (in)all but 4 states.,1
89,Theres not one Democrat who endorses the Romney-Ryan Medicare plan.,0
90,Says Jeb Bush has released 10 percent of his emails.,1
91,Says Jon Runyan voted to end programs to aid homeless veterans.,0
92,Says Mitt Romneys investments created zero jobs.,1
93,"In the event of a U.S. strike on Syria, the Russians will replace the weapons immediately. Theyve said it on the record. Theyve suggested they might even replace it with better stuff.",0
94,We Really Do Have the Highest Corporate Tax Rate in the World.,1
95,Independent groups behind ads attacking Democratic candidates are front groups for foreign-controlled companies.,0
96,Greece has a GDP the size of the Dallas-Fort Worth Metroplex.,1
97,"In Miami-Dade County, we spend at our school system over $20 million every year educating recent immigrants.",1
98,One-third of the gasoline is purchased by out-of-state people in Virginia,1
99,"We have one of the most expensive General Assemblies, per capita, in the entire country.",1
